Country code,Year,"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,Population growth (annual %),Literacy rate total (% of people aged 15 and above),Net investment in nonfinacial assets,Age dependency ratio,Trade (% of GDP),GDP per capita growth (annual %),Terms of trade adjustment (constant LCU),Access to electricity,Total tax and contribution rate (% of profit),Access to fresh water,"Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)","Unemployment, total (% of total labor force)",R&D expenditure (% of GDP)
SEN,1976,18.0561092797074,1.08309218710661,,,2.6059051190583,,,89.3561439023294,54.1158121978957,6.11880210994048,-347853541343.053,,,4979.54622437488,29.7566632562653,,,
SEN,1977,19.1138883585025,11.3405856371037,,,2.42353435366142,,,90.7141969218698,63.9537489590316,-5.01306832513139,-293050313617.303,,,4860.31584140827,26.996306511875,,,
SEN,1978,19.859759691478,3.41965105587518,,,2.3261812112817,,,92.3085091133044,50.2097268519194,-6.16235135603544,-173337782246.959,,,4748.56093756471,20.7995818266378,,,
SEN,1979,19.8176693069422,9.6533598525703,,,2.38695806475924,,,93.8620909262572,49.8026813756319,4.47784162814253,-238328129032.974,,,4636.55684256949,23.6259301099614,,,
SEN,1980,20.0056608464877,8.72902766072328,,,2.47422555657384,,,95.3060750007619,49.3008323036292,1.44643886625595,-225000069842.561,,,4523.24553737121,18.5195765186875,52.6580978273572,,
SEN,1981,19.388765945031,5.91319372031625,,,2.56437222074908,,,96.6069345596457,65.8519215038223,2.5173066346255,-313024596120.132,,,4408.72729783123,20.6636230451127,51.6630441246261,,
SEN,1982,20.5554498462286,17.3763852168922,,,2.63687199552555,,,97.7441263162883,57.1036068416595,5.19951122400988,-426973603880.716,,,4293.99413353856,21.1990118487265,49.7519997086741,,
SEN,1983,21.2141287127804,11.6169845681475,,,2.68453608445209,,,98.7129755911606,68.5643150477465,-8.14669177846739,-543313730150.916,,,4180.25384186391,17.0275418620381,52.3676295542962,,
SEN,1984,21.2808782199912,11.7840274796329,,,2.71602779935722,,,99.4930728874052,65.4332867839953,1.15090707551992,-397015613653.302,,,4068.24496700543,18.4282582429714,51.1018814834967,,
SEN,1985,20.3913874691559,13.0000576159794,,,2.78197014177237,,,100.001809636653,52.6337717754652,0.624440535829351,-225729213646.568,,,3956.62738921635,21.3274112292183,49.3267326167171,,
