Country code,Year,Exports of goods and services (% of GDP),GDP growth (annual %),"Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)",Domestic credit to private sector (% of GDP),Population growth (annual %),Age dependency ratio,"Final consumption expenditure, etc. (annual % growth)",Tax revenue (% of GDP),Trade (% of GDP),"Central government debt, total (% of GDP)",GDP per capita growth (annual %),Access to electricity,"Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",Imports of goods and services (% of GDP),Current health expenditure (% of GDP),"Unemployment, total (% of total labor force)",Gross domestic savings (% of GDP),GDP per person employed (constant 2017 PPP $)
MDG,2012,21.7806921027771,3.01114811507057,17.2760843241341,5.71384434191049,10.1166938503767,2.72814099743688,82.4640283625872,0.264793467341249,8.36825554301184,52.6517140807111,,0.238846839404246,18.7000007629395,28.0006123571939,50.9548624539888,30.871021977934,1.48979211,0.600000023841858,11.078561577522,3024.99867865805
MDG,2013,23.2721660782858,2.30037623213595,17.9096138240405,5.82642944451989,11.083287941076,2.67158913972617,81.218052329818,3.9253392770251,8.78559177309269,56.3675817911211,,-0.396484586191931,12.8999996185303,26.4930339799772,51.5008530956181,33.0954157128353,1.30425894,0.998000025749207,6.6896423866619,3006.56559124226
MDG,2014,28.2819119744449,3.33920311305025,19.2497828686384,6.08040811088296,11.6677588600703,2.6271377711217,80.1202558281412,-5.12521431929328,8.44113338208706,61.9694322120362,,0.659691221714809,22.2350730895996,25.8453829294463,50.8124409885075,33.6875202375914,1.748142,1.39100003242493,11.0850659794137,3020.30071857634
MDG,2015,28.39064612994,3.13229807263869,18.9508847314981,7.40419174202125,12.31059239017,2.58818714317603,79.1812115378376,0.353123544357075,8.94531037353076,61.2203788355554,,0.497287783718534,23.0059337615967,25.7433543339981,50.7680550601694,32.8297327056154,1.99011004,1.78999996185303,11.5527752289284,3030.51238840655
MDG,2016,29.0925694350035,3.99314606412389,19.4099444671437,6.03575858154682,11.8878140258155,2.58601148442291,78.3410883656892,1.10418964172389,9.24485187359524,60.8346984847476,,1.3383460279627,22.8999996185303,25.1334543603062,51.0107328915714,31.742129049744,2.37194586,1.79999995231628,13.7164229451837,3055.48688024764
MDG,2017,30.9026308764808,3.93330759454741,20.1123576645922,8.60905075422951,12.706122619847,2.58416485189804,77.5766074646047,-1.42947750356325,10.0275447299671,65.3434015082657,,1.28190543842915,24.1000003814697,24.5501377700405,51.0493152393528,34.4407706317849,2.24615145,1.81500005722046,12.2682398772457,3080.12595711582
MDG,2018,31.5360236543653,3.19435651491895,21.481957471562,8.59422958870474,12.9668768989861,2.55407704067255,76.8419623568581,1.07790033024746,10.2831286793274,67.841504668148,,0.59206685062874,36.5,23.9733833011787,48.7393975833148,36.3054810137827,1.48056126,1.83299994468689,14.3766490873444,3084.27320661152
MDG,2019,28.4244012428345,4.41123213007131,22.4454973521782,5.61051441492366,14.2116915536628,2.52531662828285,76.1033363912853,0.447118837392807,10.531864621156,62.6013230457367,,1.80753212621842,31.0400009155273,22.9562520103226,49.803398924079,34.1769218029022,1.18677306,1.84099996089935,13.9971638155355,3125.38708804895
MDG,2020,20.1420748831987,-7.13767162152631,19.4661871057193,4.20179312190553,16.4151092014314,2.48242289292055,75.3335696361558,-0.331300947853478,9.52072872526548,49.0107073650291,,-9.41452977260271,33.7350769042969,24.6929443979329,50.3929947592946,28.8686324818304,,2.36299991607666,4.29746800456389,2905.47308774645
MDG,2021,21.0206060441563,4.40234000007614,,5.81225118787723,,2.41686937370051,74.5140573737842,-0.565478999932694,,50.4157370496074,,1.9093196932585,,,,29.3951310054511,,2.30999994277954,3.91842801292443,2933.14116383688
